Sample,Class,Ergothioneine,b-Alanine,Oxoglutaric acid (a-Ketogluturate),Sucrose,Fructose,Xylose,Galactose,Mannose,Arabinose,a-Lactose,Glucose,Glucose-1-phosphate,Aspartic acid,Citric acid,Anserine nitrate,Trigonelline,Glutamine,1-Methylnicotinamide,Niacin (Nicotinic acid),Quinolinic acid,Nicotinamide (Niacinamide),Acetylcholine,Adenine,Betaine,Acetamide,Cytosine,Citrulline,2-Aminobutyric acid,Creatinine,trans-Aconitic acid,Choline,"2,3-Butanediol",2-Aminoisobutyric acid,4-Aminohippuric acid,Phenylalanine,Valine,Adipic acid,"N,N-Dimethylglycine",Tryptophan,Folic acid,Threonine,Dimethylamine,"3,4-Dihydroxymandelic acid",Glutaric acid,Maltose,Ethanolamine,Serine,Glucuronic acid,Proline,Trimethylamine-N-oxide,Fucose,Hippuric acid,Glycolic acid,scyllo-Inositol,myo-Inositol,Hypoxanthine,Isethionic acid,Kynurenine,Homovanillic acid,Homocystine,Inosine,trans-4-Hydroxyproline,Cysteine,Thymine,Suberic acid,Alanine,Uracil,Isoleucine,Trimethylamine,Phosphoserine,Glutamic acid,Asparagine,Lipoic acid,3-Methylhistidine,Sarcosine,Methylamine,Leucine,Histidine,Ornithine,Glycine,Lysine,Methionine,Trehalose,Acetaldehyde,N-Acetylalanine,N-Acetylaspartate (NAA),N-Acetylglutamic acid,N-Acetylglutamine,2-Aminoadipic acid,Capric acid,Glutathione (oxidised),Glutathione (reduced),Glycerol-3-phosphate,Histamine,Homocarnosine,3-Hydroxybutyric acid,3-Methyl-2-oxovaleric acid,4-Methyl-2-oxovaleric acid,Pantothenic acid,Guanosine-5-monophosphate (GMP),Pyruvic acid,Ribose,Adenosine 5-triphosphate,Uridine,Glucose-6-phosphate,5-Hydroxyindole-3-acetic acid,Adenosine 5-monophosphate,cis-Aconitic acid,Argininosuccinic acid,Agmatine,5-Aminolevulinic acid,Cytidine,Adenosine,Phosphocreatine,Adenosine 5-diphosphate,Indoxyl sulfate,Acetic acid,4-Aminobutyric acid,Butyric acid,Carnitine,Deoxycholic acid,Creatine,"Adenosine 3,5-cyclic monophosphate",trans-Cinnamic acid,Cholic Acid,5-Hydroxylysine,Pyroglutamic acid,Phosphoenolpyruvic acid,Hypotaurine,Isocitric acid,Lactic acid,Malic acid,Maleic acid,Malonic acid,Sorbitol,Urocanic acid,N-Acetylmethionine,Arginine,Diatrizoic acid,Ethylenediaminetetraacetic acid (EDTA),Glyceric acid,2-Hydroxyisobutyric acid,2-Hydroxy-3-methyl butyric acid,2-Oxobutyric acid,Malonyl coenzyme A,Acetoacetate,N-Acetyllysine,Formic acid,Fumaric acid,Cysteamine,Isobutyric acid,Succinic acid,Tartaric acid,Propionic acid,Quinic acid,Shikimic acid,3-Phosphoglyceric acid,Xylitol,Oxaloacetic acid,Cytidine 5-diphosphate,Glycerol,Nicotinamide adenine dinucleotide hydrate (NAD),Guanosine 5-triphosphate,Inosine-5'-monophosphate,Uridine 5-diphosphoglucose,Homocysteine,Phosphoethanolamine,Spermidine,Guanosine 5-diphosphate,Porphobilinogen,Uridine-5-diphospho-N-acetylglucosamine,Galactose-1-phosphate,Glucosamine-6-phosphate,N-Acetylglucosamine,N-acetylglucosamine-1-phosphate,Acetoin,2-hydroxybutyric acid,3-aminoisobutyric acid,Homoserine,3-aminobutyric acid,Taurine,Uridine 5-diphosphate,Uridine 5-triphosphate,Uridine-5-diphosphoglucuronic acid,Nicotinamide mononucleotide (NMN),Glycerophosphorylcholine,Carnosine (beta-alanyl_L-histidine),Sucrose-6-phosphate,Uridine-5-diphosphogalactose,N-Acetylaspartylglutamate (NAAG),Uridine 5-monophosphate,Cytidine 5-triphosphate,N-Acetylneuraminic acid,Riboflavin 5-adenosine diphosphate (Flavin adenine dinucleotide),Hydroxyglutaric acid,Valeric acid,Isovaleric acid,Methyl isobutyric acid,2-methylbutyric acid,Taurocholic acid,Trehalose-6-phosphate,Methanol,Ethanol,Chloroform,3-Hydroxy-3-methyl butyric acid,Thiamine,Phosphocholine,Tyrosine
11,Group B,1.76E-03,,,,,,,,,,3.21E-02,,,5.43E-04,7.33E-03,,5.18E-02,,,,,1.24E-03,,,,,2.86E-02,,9.72E-03,1.85E-03,,,,,,1.02E-02,1.08E-02,,,,,,,4.13E-03,,,,,,,,,3.41E-03,,,,,,,,,,,3.10E-04,,4.40E-02,,2.78E-02,9.53E-05,,,,,1.57E-02,7.84E-04,,4.28E-02,,4.13E-02,,,4.72E-03,,,,,,4.92E-03,4.23E-02,,,,,,,5.37E-04,2.14E-03,7.43E-04,2.24E-04,,7.40E-04,,8.11E-03,,2.18E-02,,,4.03E-06,1.13E-02,1.09E-02,,,,,3.70E-04,,3.59E-02,,,5.88E-03,,,,,,,,,,,4.25E-02,,,1.54E-04,,,,,,7.33E-03,,7.78E-04,,,,7.41E-04,2.53E-05,3.61E-02,,7.33E-03,4.66E-04,1.60E-02,,2.11E-03,,,2.59E-02,,,,4.36E-02,,,,,,3.96E-02,,,,2.88E-03,,2.23E-02,,4.52E-03,6.81E-04,,,,,,,,,,5.63E-03,3.97E-02,4.50E-02,,,,,,,,,,,1.95E-03,,,,,,2.11E-03,,,8.56E-03
12,Group D,3.20E-03,,,,3.59E-02,,,,,,,,,2.98E-03,2.39E-03,,2.77E-02,,,,,1.88E-03,,,,,,,8.95E-03,2.17E-03,,,,,,1.22E-02,,,,,,,,5.17E-03,,,,,,,,,3.81E-03,,,,,,,,,,,4.28E-04,,4.58E-02,,3.21E-02,1.46E-04,,,1.94E-02,,1.70E-02,6.59E-04,,4.50E-02,,3.74E-02,,,5.73E-03,,,,,,4.53E-03,,,2.46E-02,2.11E-02,,,,1.25E-03,9.30E-04,6.55E-04,2.46E-03,,,,,,2.30E-02,,,,7.40E-03,,,,,,,,3.77E-02,,,1.26E-02,,,,,,,,,,,4.46E-02,,,,,,,4.01E-02,,3.86E-03,,8.91E-04,,,4.51E-03,7.15E-04,1.12E-03,3.79E-02,,1.33E-02,1.63E-04,1.65E-02,,1.67E-03,,,2.72E-02,,,,4.59E-02,,,,,,,,,,1.65E-03,,2.34E-02,,4.63E-03,6.51E-04,,,,,,,,,,,1.89E-02,4.73E-02,,,,,,,,1.82E-04,,,1.72E-03,,,,,,2.14E-03,,,6.78E-03
13,Group D,4.71E-04,,,,3.55E-02,,,,,,,,5.13E-02,2.57E-03,,,5.39E-02,,,,,3.53E-03,,6.32E-04,,,,,1.20E-02,1.73E-03,,,,,,1.15E-02,,,,,,,,4.21E-03,1.85E-02,,,,,,,,4.34E-03,,,,,,,,,,,,,4.00E-02,,2.97E-02,3.62E-04,,,,,2.11E-02,9.05E-04,,4.45E-02,,8.12E-03,,,4.72E-03,,,,,,2.18E-03,4.22E-02,,,2.08E-02,,,,,6.25E-04,,,,7.69E-04,,,,,,,,1.30E-02,,,,,,,,,,,7.00E-03,,,,,,,,,,,4.41E-02,,,,,,,3.96E-02,,4.50E-03,,8.68E-04,,,,,4.74E-04,3.75E-02,,1.27E-02,,1.46E-02,,1.28E-03,,,2.69E-02,,,,4.53E-02,,,,1.88E-02,3.42E-04,2.82E-02,,,,6.41E-03,,2.32E-02,,7.31E-03,5.79E-04,,,,,3.93E-02,,,,,1.91E-04,1.29E-02,4.68E-02,,,,,,,,,,,2.15E-03,,,,,,2.27E-03,,,5.72E-03
14,Group C,2.32E-03,,,,3.81E-02,,,,,,,,,1.51E-03,,,3.62E-02,,,,,1.80E-03,,,,,,,1.19E-02,2.58E-03,,,,,,1.38E-02,,,,,,,,3.11E-03,,,,,,,,,3.43E-03,,,,,,,,,,,4.71E-04,,4.02E-02,,3.18E-02,1.43E-04,,,1.69E-02,,1.35E-02,9.50E-04,,4.78E-02,,7.00E-03,,7.69E-03,4.96E-03,,,,,,4.39E-03,4.06E-02,,1.96E-02,,,,,,2.29E-04,3.62E-04,3.53E-03,,8.74E-04,3.80E-02,,,2.44E-02,,,,6.14E-03,,,,,,,,4.00E-02,,,9.43E-03,,,,,,,,,,,4.74E-02,,,5.56E-05,,,,4.25E-02,,5.38E-03,,6.25E-04,,,,,8.82E-04,4.02E-02,,1.23E-02,1.97E-04,1.52E-02,,1.47E-03,,,2.88E-02,,,,4.87E-02,,,,2.02E-02,,,,,,3.63E-03,,2.49E-02,,5.02E-03,4.11E-04,,,,,,,,,,,1.99E-02,,,,,,,,,,,,2.19E-03,,,,,,1.87E-03,2.74E-04,,8.00E-03
15,Group A,1.72E-03,,,,7.19E-02,,,,,,6.75E-02,,,4.46E-03,2.64E-03,,1.09E-01,,,,,1.43E-03,,,,,,,1.18E-02,2.01E-03,,,,,,1.10E-02,,,,,,,,5.02E-03,,,,,,,,,1.24E-02,,,,,,,,,,,,,6.08E-02,,3.09E-02,4.91E-04,,,,,1.80E-02,6.49E-04,,4.07E-02,,7.04E-02,,,4.35E-03,,,,,,,,,,,,,,,1.57E-03,7.74E-04,,,,,5.69E-03,,4.60E-02,,,1.25E-05,2.35E-02,4.79E-02,,,,,1.31E-02,,7.56E-02,,1.43E-04,4.97E-06,,,,,,,,,,,8.94E-02,,,,,,,,,9.17E-03,,1.16E-03,,,3.97E-03,,,7.59E-02,,7.49E-03,9.37E-05,1.42E-02,,6.94E-04,,,5.44E-02,,,,9.18E-02,,,,,,,,,,4.49E-03,,,,5.05E-03,7.89E-04,,,,,2.83E-02,3.73E-07,,,,1.13E-02,3.55E-02,9.47E-02,,,,,,,,,,,1.98E-03,,,,,,3.50E-03,,,9.94E-03
16,Group C,8.76E-04,,,,,,,,,,,1.13E-01,,8.33E-03,,,5.34E-02,,,,,2.12E-03,,,,,,,1.94E-02,1.60E-03,,,1.28E-05,,,1.54E-02,,,,,,,,,,,,,,,,,2.19E-02,,,,,,,,,,,,,5.48E-02,,3.15E-02,1.90E-04,,,,,1.83E-02,,,2.98E-02,1.65E-02,3.97E-02,,,4.24E-03,,,,,,4.18E-05,,,5.33E-02,4.56E-02,,2.32E-03,,,2.07E-03,,3.16E-07,,,,2.12E-02,2.84E-02,,,,1.59E-04,,2.01E-02,,,,,4.65E-06,,4.90E-02,,,1.13E-02,,,,,,,,,,,9.66E-02,,,,,,,,,1.34E-02,,1.05E-03,,,,,,8.20E-02,,2.79E-03,,1.29E-02,,2.88E-04,,,5.88E-02,,,,9.92E-02,,,,,,5.66E-02,,,,,,5.07E-02,6.97E-04,2.00E-02,7.29E-04,,,,,,,,,,1.15E-02,2.19E-02,1.02E-01,,,,,3.39E-04,,,,,,1.80E-03,,,,,,3.21E-03,,,1.11E-02
17,Group D,1.89E-03,,,,,,,,,,5.10E-02,,,7.44E-03,8.63E-03,,8.25E-02,,,,,3.43E-03,,,,,3.70E-02,,1.41E-02,1.29E-03,,,,,,1.03E-02,,,,,,,,,,,,,,,,,5.61E-03,,,,,,,,,,,,,4.93E-02,,2.95E-02,5.54E-05,,,,,1.71E-02,,,4.25E-02,,5.22E-02,,6.40E-03,3.87E-03,,,,,,,,,,3.19E-02,,3.75E-04,,,8.56E-04,4.72E-04,1.64E-04,,8.19E-04,,9.41E-03,,,,,,2.11E-02,6.76E-03,,,,,9.77E-03,,5.71E-02,,,,,,,,,,,,,,6.76E-02,,,,,,,,,9.65E-03,,7.86E-04,,,,,,5.74E-02,,7.05E-03,,1.32E-02,,4.58E-04,,,4.11E-02,,,,6.94E-02,,,,2.73E-02,,2.89E-02,,,,7.61E-03,,,,1.61E-02,6.75E-04,,,,,2.66E-02,,,,,1.19E-02,3.58E-02,,,3.17E-03,,,,,,,,,2.02E-03,,,,,,2.61E-03,,,9.05E-03
18,Group B,1.26E-03,,,,,,,,,,5.51E-02,,,8.58E-03,6.99E-04,,8.30E-03,,,,,1.36E-03,,,,,,,,,,,,,,2.19E-02,,,,,,,,,,,,,,,,,1.83E-03,,8.09E-02,,,,,,,,,,9.80E-03,3.66E-02,,3.37E-02,1.58E-04,,,,,1.81E-02,8.56E-04,,5.35E-02,,,,,5.67E-03,,,,,,,,,,,,,,,1.03E-03,1.01E-03,,,,,,,,,,,,,,,,,,,6.17E-02,,,6.87E-03,,,,,,,,,,,7.29E-02,,,,,,,6.55E-02,,9.09E-03,,8.61E-04,,,5.06E-03,,,6.20E-02,,4.41E-02,4.11E-04,8.07E-03,,1.36E-03,,,4.44E-02,,,,7.49E-02,,,,,,4.83E-02,,,,1.26E-02,,,,8.41E-03,7.12E-04,,,,,2.79E-02,,,,,7.33E-03,1.30E-02,7.73E-02,1.26E-02,5.54E-03,,,,,,,,,3.09E-03,,,,,,2.49E-03,5.68E-04,,1.27E-02
19,Group C,1.32E-03,,,,,,,,,,4.67E-02,,,8.86E-03,3.90E-03,,5.07E-02,,,,,2.09E-03,,,,,,,1.69E-02,2.25E-04,4.20E-04,,,,,1.34E-02,,,,,,,,,,,,,,,,,4.32E-03,,,,,,,,,,,,,4.28E-02,,2.87E-02,2.74E-04,,,,,1.45E-02,1.53E-03,,3.08E-02,,4.84E-02,,,4.18E-03,,,,,,2.45E-03,,,3.41E-02,2.92E-02,,1.45E-05,,,7.68E-04,5.06E-04,1.10E-03,3.07E-03,,,,,3.18E-02,,,3.13E-04,,2.35E-02,,,,,,,5.23E-02,,,1.17E-03,,,,,,,,,,1.77E-02,6.18E-02,,,,,,,,,1.27E-02,,8.03E-04,,,7.69E-03,,2.50E-04,5.25E-02,,1.49E-03,,1.21E-02,,9.78E-04,,,3.76E-02,,,,6.35E-02,,,,,,5.97E-02,,,3.49E-02,8.80E-03,,3.24E-02,,1.61E-02,6.96E-04,,,,,1.91E-02,,,,,2.57E-02,2.58E-02,6.55E-02,9.72E-03,5.33E-03,,,,,,,,,6.60E-04,,,,,,2.45E-03,,,7.08E-03
20,Group B,1.91E-03,,,,4.28E-02,,,,,,,,,3.30E-03,3.66E-03,,3.07E-02,,,,,1.10E-03,,2.09E-03,,,,,8.16E-03,1.48E-03,4.09E-04,,,,,1.29E-02,,,,,,,,,,,,,,,,,3.67E-03,,,,,,,,,,,5.34E-05,,4.20E-02,,3.19E-02,8.92E-05,,,,,1.92E-02,6.14E-04,,5.25E-02,,4.85E-02,,,5.22E-03,,,,,,2.78E-03,,,,2.51E-02,,,,,8.76E-04,,,,5.09E-04,,,,2.73E-02,,,,,,,,,,4.21E-03,,4.49E-02,,,1.40E-02,,,,,,,,,,,5.32E-02,,,,,,,4.77E-02,,6.16E-03,,9.72E-04,,,3.66E-03,,5.25E-04,4.52E-02,,1.49E-02,,1.52E-02,1.25E-04,1.03E-03,,,3.24E-02,,,,5.46E-02,,,,,,3.97E-02,,,,1.98E-03,,,,2.46E-03,6.07E-04,,,,,2.49E-02,,,,,,,5.63E-02,,,,,,,,,,,1.91E-03,,,,,,2.23E-03,,,7.82E-03
21,Group A,2.88E-03,,,,7.59E-02,,,,,,7.12E-02,,,1.23E-02,2.70E-03,,9.11E-02,,,,,3.09E-03,,,,,,,1.16E-02,8.83E-04,4.84E-04,,,,,1.44E-02,7.21E-03,,,,,,,4.83E-03,,,,,,,,,5.45E-03,,,,,,,,,,,,,5.18E-02,,3.72E-02,5.59E-04,,,1.32E-02,,1.84E-02,,,4.92E-02,,6.15E-02,,,4.97E-03,,,,,,,,,,4.45E-02,,,,,1.23E-03,1.02E-03,,,,,,,,,,1.75E-06,1.83E-02,5.58E-02,,,,,,,7.97E-02,,,,,,,,,,,,,,9.44E-02,,,2.62E-04,,,,,,7.40E-03,,3.10E-04,,,,,,8.02E-02,,9.74E-03,,1.67E-02,,,,,5.75E-02,,,,9.69E-02,,,,,,2.66E-02,,,,6.96E-03,,,6.94E-04,7.41E-03,7.21E-04,,,,,3.59E-02,,,,,4.63E-03,2.16E-02,1.00E-01,8.52E-03,,,,,,,1.72E-03,,,2.81E-03,,,,,,2.66E-03,,,8.18E-03
22,Group D,5.61E-04,,,,,,,,,,2.04E-01,,,,7.97E-07,,1.43E-06,,,,,1.71E-03,,,,,,,6.28E-07,7.15E-06,,,,,,2.15E-02,1.08E-02,,,,,,,1.07E-02,,,,,,,,,2.00E-02,,2.32E-01,,,,,,,,4.73E-03,,,7.29E-02,,5.29E-02,4.50E-04,,,1.78E-02,,7.93E-03,,,9.52E-02,,5.93E-02,5.32E-02,,8.27E-03,,,,3.81E-06,,,,,,1.27E-01,,,,4.58E-07,1.78E-03,5.13E-04,3.49E-07,,,,3.05E-07,,,,,8.41E-07,4.80E-07,2.03E-04,,,,5.61E-04,8.51E-07,,3.22E-02,,,4.45E-03,,6.12E-05,,,,,,,,,2.70E-01,,,,,,,2.42E-01,,1.24E-02,,2.00E-03,,,3.87E-03,,,2.29E-01,3.86E-05,5.08E-02,,2.20E-02,,,,,1.64E-01,,,,2.77E-01,,,,,,,,,,6.05E-03,,,,7.65E-03,9.16E-04,,,,,2.18E-02,,,,,4.21E-03,4.40E-02,,,,,,2.67E-07,,,,,,4.03E-03,,,,,,3.96E-03,,2.87E-03,1.04E-02
